epoch,loss,lr,output_age_loss,output_age_myMAE,output_emotion_acc,output_emotion_loss,output_gender_acc,output_gender_loss,val_loss,val_output_age_loss,val_output_age_myMAE,val_output_emotion_acc,val_output_emotion_loss,val_output_gender_acc,val_output_gender_loss
10,2.1249640519914728,0.01,1.8887916293297573,24.14983451808211,0.6051684532924961,0.06434796209618945,0.599176875957121,0.15434790262310646,3.925404583448198,3.269926300089682,14.225659633437171,0.32147601876364734,0.32665543604953345,0.7779193666571925,0.31184706618833175
11,2.0904841689932034,0.01,1.8853040433769752,24.24717739391473,0.6049004594180705,0.03854374009244084,0.6176971669218989,0.15013738709685906,3.95871133452411,3.2610062975669263,14.065788733093967,0.2590082151604149,0.36366720245868533,0.7578830355367507,0.31789452092915427
12,2.0696824990224325,0.01,1.8791452531975226,24.292682508670172,0.6122032924961716,0.026399900502105247,0.6168166156202144,0.14828960380672404,3.9967837692829384,3.2834306880256,14.2740079622331,0.28584984952174697,0.3808684270843406,0.7640105197435668,0.31677763913242607
13,2.0559060390291317,0.01,1.8726689513207941,24.275001439420222,0.6119448698315467,0.02060274884705881,0.6247894333843798,0.14704829657145108,3.9889431283662917,3.260802659089106,13.998942412209963,0.29360409944314675,0.3915120922678467,0.7753978797852454,0.32108061935742427
14,2.043114979745418,0.01,1.8674022524134124,24.283179129794764,0.6138686830015314,0.017672152332873312,0.6270195252679939,0.1424911047088105,4.014175992639955,3.275790366498663,14.088859708979575,0.30122278556274146,0.39599336798368256,0.7777566900659376,0.32673197572926777
15,2.0330970045983516,0.01,1.8615972616405985,24.418433673969638,0.6110164624808576,0.015814493753453757,0.6359207503828483,0.1401109558511611,4.019095778681821,3.2817916128416464,14.077108340980503,0.2818913862690557,0.39990458113412275,0.7663422172735943,0.32175768422176426
16,2.019730914606617,0.01,1.8517792256648837,24.210429087897356,0.6161466309341501,0.013479677772929051,0.6269620980091883,0.13858572832190333,4.041328723727404,3.279703863717579,14.030977101762062,0.29658650326870384,0.41806828921055117,0.7687552531089454,0.3275862450797054
17,2.0069531064668804,0.01,1.841856930778001,24.299441310421066,0.6253349923430321,0.014140003743948904,0.6223104900459419,0.1347222188036963,4.074498798868983,3.2901691231801165,14.127917728367704,0.3090312610194077,0.42820794914044336,0.7893609521921204,0.33973255388129026
18,1.9898731083088592,0.01,1.826989412526807,24.27336695322034,0.6123181470137825,0.015252217933502862,0.6427354517611026,0.13098015638601726,4.101997449438572,3.309542485781587,14.172404183491519,0.28926605753408896,0.424863729928646,0.7890084863090432,0.35073512361910875
19,1.9870341456137244,0.01,1.824114172674065,24.30307933988469,0.6157159264931087,0.015817368411208815,0.62322932618683,0.12996074500940114,4.085057921016972,3.2980131951833638,13.934704025277243,0.258926876885796,0.42891849352028816,0.767399615002012,0.3408479225194994
20,1.9696980161652267,0.01,1.8121169631367986,24.513738173036444,0.618759571209801,0.015692163141464762,0.6261294027565084,0.1242804565251581,4.107499815412319,3.300439421979258,13.709345165665669,0.28739527695847966,0.43449698990836655,0.7675894043358514,0.3545233172389809
21,1.9596461810160195,0.01,1.801070942813003,24.351854165443783,0.6343415007656967,0.01780760222742539,0.6178598774885146,0.12256529235137002,4.129764267147013,3.325542445031926,13.77717476342572,0.31087492883465595,0.4291581113869245,0.7556326763120471,0.3566069428481763
22,1.953643292161261,0.01,1.7942419626446267,24.185245391822335,0.6336332312404288,0.017896592410942578,0.6247224349157734,0.12286882781884298,4.149524060815514,3.330619817467492,13.704766454340607,0.33183309384696547,0.4325638090430037,0.7535992191443748,0.3673399857233543
23,1.9430452226679686,0.01,1.7813273329464618,24.455098725533595,0.631010719754977,0.019148998609925857,0.6347339203675345,0.12326309171463912,4.189270517415799,3.3651097407585477,14.245566701629178,0.2977794647989267,0.433173996984023,0.7706260336659702,0.37139020202100603
24,1.935522752224395,0.01,1.7740924537638245,24.360913645874305,0.6301684532924962,0.020830343039465453,0.6389739663093414,0.12088106479267569,4.168669050764993,3.3684702419883674,14.113669821307363,0.3101699970224443,0.4236713019814398,0.7675894043358514,0.3566525338677533
25,1.9222078068150497,0.01,1.76353902400544,24.64468243264495,0.6303981623277182,0.019095398535929287,0.636437595712098,0.11924984295229224,4.204252193784893,3.3843674270843564,14.309985689934205,0.30477455738173664,0.4347413625200804,0.7629531220345417,0.3645143258520881
26,1.9146477256032994,0.01,1.7555173539823266,24.405150462000147,0.6331642419601837,0.020215346079283526,0.6343702143950996,0.11811409696600018,4.222026610275549,3.3961378059447194,14.085767636080515,0.372448011280525,0.43500964765618777,0.7727408291228057,0.36986541784933136
27,1.9048621423394172,0.01,1.7451403483132308,24.460689719055548,0.6400267993874426,0.020044971122063014,0.6281776416539051,0.11831663881455638,4.224511726266556,3.4026005053162733,14.128555052083204,0.31483339207441885,0.42865324179404724,0.7540330233473201,0.3720758456704583
28,1.8921432701770964,0.01,1.7319435671679275,24.482427317223543,0.6328292496171516,0.021596458180876434,0.6350976263399694,0.11699537073117987,4.245862924176422,3.411576920656127,13.728872200369857,0.30040940270262156,0.42788867083204235,0.7526231597132006,0.38455566542641095
29,1.8853317590804048,0.01,1.725151963876546,24.414159037836843,0.6371267228177642,0.021130829668253477,0.6449942572741194,0.11691789008123632,4.27029542472032,3.428130686821255,14.100213349642827,0.34324756662718847,0.43812223863204786,0.7685925765290028,0.3815342913837859
